L_HS_S,L_FF,R_HS,R_FF,L_HS_E,Cadence_steps_per_min,Stride_Time_s,Stance_Time_s,Swing_Time_s,Step_Time_s,Total_Double_Support_s,Single_Support_s,Stance_Percent,Swing_Percent
2026-02-02 16:30:01.370,2026-02-02 16:30:03.260,2026-02-02 16:30:02.680,2026-02-02 16:30:01.890,2026-02-02 16:30:04.080,42.857,2.71,1.89,0.82,1.4,1.1,1.61,69.742,30.258
2026-02-02 16:30:04.080,2026-02-02 16:30:05.900,2026-02-02 16:30:05.340,2026-02-02 16:30:04.660,2026-02-02 16:30:06.520,50.847,2.44,1.82,0.62,1.18,1.14,1.3,74.59,25.41
2026-02-02 16:30:06.520,2026-02-02 16:30:08.180,2026-02-02 16:30:07.660,2026-02-02 16:30:07.020,2026-02-02 16:30:08.830,51.282,2.31,1.66,0.65,1.17,1.02,1.29,71.861,28.139
2026-02-02 16:30:08.830,2026-02-02 16:30:10.340,2026-02-02 16:30:09.970,2026-02-02 16:30:09.380,2026-02-02 16:30:11.040,56.075,2.21,1.51,0.7,1.07,0.92,1.29,68.326,31.674
2026-02-02 16:30:11.040,2026-02-02 16:30:12.640,2026-02-02 16:30:12.260,2026-02-02 16:30:11.610,2026-02-02 16:30:13.440,50.847,2.4,1.6,0.8,1.18,0.95,1.45,66.667,33.333
2026-02-02 16:30:13.440,2026-02-02 16:30:15.210,2026-02-02 16:30:14.640,2026-02-02 16:30:14.030,2026-02-02 16:30:15.880,48.387,2.44,1.77,0.67,1.24,1.16,1.28,72.541,27.459
2026-02-02 16:30:15.880,2026-02-02 16:30:17.600,2026-02-02 16:30:17.000,2026-02-02 16:30:16.300,2026-02-02 16:30:18.270,47.244,2.39,1.72,0.67,1.27,1.02,1.37,71.967,28.033
2026-02-02 16:30:18.270,2026-02-02 16:30:19.890,2026-02-02 16:30:19.410,2026-02-02 16:30:18.770,2026-02-02 16:30:20.480,56.075,2.21,1.62,0.59,1.07,0.98,1.23,73.303,26.697
2026-02-02 16:30:20.480,2026-02-02 16:30:22.220,2026-02-02 16:30:21.720,2026-02-02 16:30:20.880,2026-02-02 16:30:22.760,57.692,2.28,1.74,0.54,1.04,0.9,1.38,76.316,23.684
2026-02-02 16:30:22.760,2026-02-02 16:30:24.620,2026-02-02 16:30:24.050,2026-02-02 16:30:23.130,2026-02-02 16:30:25.230,50.847,2.47,1.86,0.61,1.18,0.94,1.53,75.304,24.696
2026-02-02 16:30:25.230,2026-02-02 16:30:26.970,2026-02-02 16:30:26.430,2026-02-02 16:30:25.680,2026-02-02 16:30:27.650,49.18,2.42,1.74,0.68,1.22,0.99,1.43,71.901,28.099
2026-02-02 16:30:27.650,2026-02-02 16:30:29.490,2026-02-02 16:30:28.980,2026-02-02 16:30:28.300,2026-02-02 16:30:30.230,48.0,2.58,1.84,0.74,1.25,1.16,1.42,71.318,28.682
2026-02-02 16:30:30.230,2026-02-02 16:30:29.490,2026-02-02 16:30:31.550,2026-02-02 16:30:30.890,2026-02-02 16:30:30.270,46.875,0.04,0.74,0.78,1.28,2.72,1.44,1850.002,1950.002
2026-02-02 16:30:30.270,2026-02-02 16:30:32.060,2026-02-02 16:30:31.550,2026-02-02 16:30:30.900,2026-02-02 16:30:32.730,50.847,2.46,1.79,0.67,1.18,1.14,1.32,72.764,27.236
2026-02-02 16:30:32.730,2026-02-02 16:30:34.270,2026-02-02 16:30:33.870,2026-02-02 16:30:33.280,2026-02-02 16:30:35.100,48.78,2.37,1.54,0.83,1.23,0.95,1.42,64.979,35.021
2026-02-02 16:30:35.100,2026-02-02 16:30:36.910,2026-02-02 16:30:36.340,2026-02-02 16:30:35.740,2026-02-02 16:30:37.540,50.0,2.44,1.81,0.63,1.2,1.21,1.23,74.18,25.82
2026-02-02 16:30:37.540,2026-02-02 16:30:39.160,2026-02-02 16:30:38.700,2026-02-02 16:30:37.980,2026-02-02 16:30:39.800,54.545,2.26,1.62,0.64,1.1,0.9,1.36,71.681,28.319
2026-02-02 16:30:39.800,2026-02-02 16:30:41.480,2026-02-02 16:30:40.930,2026-02-02 16:30:40.270,2026-02-02 16:30:42.200,47.244,2.4,1.68,0.72,1.27,1.02,1.38,70.0,30.0
2026-02-02 16:30:42.200,2026-02-02 16:30:43.790,2026-02-02 16:30:43.340,2026-02-02 16:30:42.800,2026-02-02 16:30:44.460,53.571,2.26,1.59,0.67,1.12,1.05,1.21,70.354,29.646
2026-02-02 16:30:44.460,2026-02-02 16:30:45.910,2026-02-02 16:30:45.500,2026-02-02 16:30:44.800,2026-02-02 16:30:46.550,57.143,2.09,1.45,0.64,1.05,0.75,1.34,69.378,30.622
2026-02-02 16:30:46.550,2026-02-02 16:30:48.160,2026-02-02 16:30:47.660,2026-02-02 16:30:46.940,2026-02-02 16:30:48.750,55.046,2.2,1.61,0.59,1.09,0.89,1.31,73.182,26.818
2026-02-02 16:30:48.750,2026-02-02 16:30:50.340,2026-02-02 16:30:49.850,2026-02-02 16:30:49.160,2026-02-02 16:30:51.060,49.587,2.31,1.59,0.72,1.21,0.9,1.41,68.831,31.169
2026-02-02 16:30:51.060,2026-02-02 16:30:52.620,2026-02-02 16:30:52.140,2026-02-02 16:30:51.510,2026-02-02 16:30:53.360,49.18,2.3,1.56,0.74,1.22,0.93,1.37,67.826,32.174
2026-02-02 16:30:53.360,2026-02-02 16:30:54.900,2026-02-02 16:30:54.460,2026-02-02 16:30:53.820,2026-02-02 16:30:55.690,48.78,2.33,1.54,0.79,1.23,0.9,1.43,66.094,33.906
