R_HS_S,L_FF,L_HS,R_FF,R_HS_E,Cadence_steps_per_min,Stride_Time_s,Stance_Time_s,Swing_Time_s,Step_Time_s,Total_Double_Support_s,Single_Support_s,Stance_Percent,Swing_Percent
2026-02-02 16:30:00.030,2026-02-02 16:30:00.710,2026-02-02 16:30:01.370,2026-02-02 16:30:01.890,2026-02-02 16:30:02.680,44.776,2.65,1.86,0.79,1.34,1.2,1.45,70.189,29.811
2026-02-02 16:30:02.680,2026-02-02 16:30:03.260,2026-02-02 16:30:04.080,2026-02-02 16:30:04.660,2026-02-02 16:30:05.340,43.326,2.66,1.98,0.68,1.385,1.175,1.485,74.436,25.564
2026-02-02 16:30:05.350,2026-02-02 16:30:05.900,2026-02-02 16:30:06.520,2026-02-02 16:30:07.020,2026-02-02 16:30:07.660,51.732,2.31,1.67,0.64,1.16,1.05,1.26,72.294,27.706
2026-02-02 16:30:07.660,2026-02-02 16:30:08.180,2026-02-02 16:30:08.830,2026-02-02 16:30:09.380,2026-02-02 16:30:09.970,51.879,2.3,1.71,0.59,1.157,1.073,1.227,74.348,25.652
2026-02-02 16:30:09.980,2026-02-02 16:30:10.340,2026-02-02 16:30:11.040,2026-02-02 16:30:11.610,2026-02-02 16:30:12.260,55.329,2.28,1.615,0.665,1.085,0.88,1.4,70.833,29.167
2026-02-02 16:30:12.270,2026-02-02 16:30:12.640,2026-02-02 16:30:13.440,2026-02-02 16:30:14.030,2026-02-02 16:30:14.640,51.877,2.37,1.76,0.61,1.157,0.983,1.387,74.262,25.738
2026-02-02 16:30:14.650,2026-02-02 16:30:15.210,2026-02-02 16:30:15.880,2026-02-02 16:30:16.300,2026-02-02 16:30:17.000,48.78,2.35,1.65,0.7,1.23,0.98,1.37,70.213,29.787
2026-02-02 16:30:17.010,2026-02-02 16:30:17.600,2026-02-02 16:30:18.270,2026-02-02 16:30:18.770,2026-02-02 16:30:19.410,48.262,2.397,1.757,0.64,1.243,1.097,1.3,73.296,26.704
2026-02-02 16:30:19.410,2026-02-02 16:30:19.890,2026-02-02 16:30:20.480,2026-02-02 16:30:20.880,2026-02-02 16:30:21.720,55.732,2.297,1.457,0.84,1.077,0.847,1.45,63.425,36.575
2026-02-02 16:30:21.720,2026-02-02 16:30:22.220,2026-02-02 16:30:22.760,2026-02-02 16:30:23.130,2026-02-02 16:30:24.050,57.692,2.33,1.41,0.92,1.04,0.87,1.46,60.515,39.485
2026-02-02 16:30:24.060,2026-02-02 16:30:24.620,2026-02-02 16:30:25.230,2026-02-02 16:30:25.680,2026-02-02 16:30:26.430,52.029,2.367,1.603,0.763,1.153,0.993,1.373,67.746,32.254
2026-02-02 16:30:26.440,2026-02-02 16:30:26.970,2026-02-02 16:30:27.650,2026-02-02 16:30:28.300,2026-02-02 16:30:28.980,49.725,2.537,1.86,0.677,1.207,1.187,1.35,73.325,26.675
2026-02-02 16:30:28.990,2026-02-02 16:30:29.490,2026-02-02 16:30:30.230,2026-02-02 16:30:30.890,2026-02-02 16:30:31.550,48.387,2.56,1.9,0.66,1.24,1.16,1.4,74.219,25.781
2026-02-02 16:30:29.020,2026-02-02 16:30:29.490,2026-02-02 16:30:30.270,2026-02-02 16:30:30.900,2026-02-02 16:30:31.550,48.0,2.53,1.88,0.65,1.25,1.1,1.43,74.308,25.692
2026-02-02 16:30:31.560,2026-02-02 16:30:32.060,2026-02-02 16:30:32.730,2026-02-02 16:30:33.280,2026-02-02 16:30:33.870,51.282,2.317,1.707,0.61,1.17,1.037,1.28,73.67,26.33
2026-02-02 16:30:33.890,2026-02-02 16:30:34.270,2026-02-02 16:30:35.100,2026-02-02 16:30:35.740,2026-02-02 16:30:36.340,48.987,2.45,1.85,0.6,1.225,0.995,1.455,75.51,24.49
2026-02-02 16:30:36.350,2026-02-02 16:30:36.910,2026-02-02 16:30:37.540,2026-02-02 16:30:37.980,2026-02-02 16:30:38.700,50.42,2.35,1.63,0.72,1.19,1.0,1.35,69.362,30.638
2026-02-02 16:30:38.700,2026-02-02 16:30:39.160,2026-02-02 16:30:39.800,2026-02-02 16:30:40.270,2026-02-02 16:30:40.930,55.219,2.227,1.553,0.673,1.087,0.933,1.293,69.76,30.24
2026-02-02 16:30:40.940,2026-02-02 16:30:41.480,2026-02-02 16:30:42.200,2026-02-02 16:30:42.800,2026-02-02 16:30:43.340,47.247,2.4,1.845,0.555,1.27,1.105,1.295,76.875,23.125
2026-02-02 16:30:43.350,2026-02-02 16:30:43.790,2026-02-02 16:30:44.460,2026-02-02 16:30:44.800,2026-02-02 16:30:45.500,54.057,2.143,1.45,0.693,1.11,0.793,1.35,67.652,32.348
2026-02-02 16:30:45.510,2026-02-02 16:30:45.910,2026-02-02 16:30:46.550,2026-02-02 16:30:46.940,2026-02-02 16:30:47.660,57.692,2.15,1.45,0.7,1.04,0.83,1.32,67.442,32.558
2026-02-02 16:30:47.670,2026-02-02 16:30:48.160,2026-02-02 16:30:48.750,2026-02-02 16:30:49.160,2026-02-02 16:30:49.850,55.729,2.19,1.483,0.707,1.077,0.903,1.287,67.734,32.266
2026-02-02 16:30:49.870,2026-02-02 16:30:50.340,2026-02-02 16:30:51.060,2026-02-02 16:30:51.510,2026-02-02 16:30:52.140,50.42,2.27,1.64,0.63,1.19,0.91,1.36,72.247,27.753
2026-02-02 16:30:52.140,2026-02-02 16:30:52.620,2026-02-02 16:30:53.360,2026-02-02 16:30:53.820,2026-02-02 16:30:54.460,50.007,2.32,1.68,0.64,1.2,0.96,1.36,72.414,27.586
2026-02-02 16:30:54.470,2026-02-02 16:30:54.900,2026-02-02 16:30:55.690,2026-02-02 16:30:56.320,2026-02-02 16:30:56.890,48.393,2.42,1.85,0.57,1.24,1.03,1.39,76.446,23.554
2026-02-02 16:30:56.890,2026-02-02 16:30:57.370,2026-02-02 16:30:58.050,2026-02-02 16:30:58.580,2026-02-02 16:30:59.100,52.178,2.21,1.69,0.52,1.15,1.03,1.18,76.471,23.529
2026-02-02 16:30:59.110,2026-02-02 16:30:59.390,2026-02-02 16:30:59.940,2026-02-02 16:31:00.200,2026-02-02 16:31:00.780,72.289,1.67,1.095,0.575,0.83,0.535,1.135,65.569,34.431
2026-02-02 16:31:00.790,2026-02-02 16:31:01.050,2026-02-02 16:31:01.600,2026-02-02 16:31:01.850,2026-02-02 16:31:02.460,74.074,1.67,1.067,0.603,0.81,0.523,1.147,63.872,36.128
2026-02-02 16:31:02.460,2026-02-02 16:31:02.850,2026-02-02 16:31:03.330,2026-02-02 16:31:03.580,2026-02-02 16:31:04.250,69.774,1.787,1.103,0.683,0.86,0.62,1.167,61.753,38.247
2026-02-02 16:31:04.260,2026-02-02 16:31:04.630,2026-02-02 16:31:05.080,2026-02-02 16:31:05.320,2026-02-02 16:31:05.960,73.171,1.693,1.06,0.633,0.82,0.605,1.087,62.63,37.37
2026-02-02 16:31:05.970,2026-02-02 16:31:06.260,2026-02-02 16:31:06.780,2026-02-02 16:31:07.020,2026-02-02 16:31:07.600,74.082,1.623,1.043,0.58,0.81,0.523,1.1,64.271,35.729
2026-02-02 16:31:07.600,2026-02-02 16:31:07.920,2026-02-02 16:31:08.420,2026-02-02 16:31:08.670,2026-02-02 16:31:09.230,74.39,1.623,1.057,0.567,0.807,0.55,1.073,65.091,34.909
2026-02-02 16:31:09.240,2026-02-02 16:31:09.550,2026-02-02 16:31:10.050,2026-02-02 16:31:10.290,2026-02-02 16:31:10.900,74.786,1.658,1.045,0.613,0.802,0.532,1.125,63.048,36.952
2026-02-02 16:31:10.910,2026-02-02 16:31:11.180,2026-02-02 16:31:11.730,2026-02-02 16:31:11.990,2026-02-02 16:31:12.530,73.472,1.623,1.08,0.543,0.817,0.527,1.097,66.53,33.47
2026-02-02 16:31:12.550,2026-02-02 16:31:12.830,2026-02-02 16:31:13.380,2026-02-02 16:31:13.680,2026-02-02 16:31:14.230,72.289,1.68,1.13,0.55,0.83,0.573,1.107,67.262,32.738
2026-02-02 16:31:14.240,2026-02-02 16:31:14.510,2026-02-02 16:31:15.020,2026-02-02 16:31:15.260,2026-02-02 16:31:15.840,76.923,1.6,1.02,0.58,0.78,0.512,1.087,63.75,36.25
2026-02-02 16:31:15.850,2026-02-02 16:31:16.110,2026-02-02 16:31:16.660,2026-02-02 16:31:16.950,2026-02-02 16:31:17.530,72.912,1.68,1.1,0.58,0.823,0.537,1.143,65.476,34.524
2026-02-02 16:31:17.540,2026-02-02 16:31:17.790,2026-02-02 16:31:18.350,2026-02-02 16:31:18.660,2026-02-02 16:31:19.250,74.074,1.71,1.12,0.59,0.81,0.567,1.143,65.497,34.503
2026-02-02 16:31:19.260,2026-02-02 16:31:19.540,2026-02-02 16:31:20.140,2026-02-02 16:31:20.430,2026-02-02 16:31:20.940,68.774,1.675,1.165,0.51,0.873,0.567,1.108,69.552,30.448
2026-02-02 16:31:20.940,2026-02-02 16:31:21.200,2026-02-02 16:31:21.770,2026-02-02 16:31:22.030,2026-02-02 16:31:22.580,72.289,1.64,1.09,0.55,0.83,0.52,1.12,66.463,33.537
2026-02-02 16:31:22.590,2026-02-02 16:31:22.870,2026-02-02 16:31:23.410,2026-02-02 16:31:23.660,2026-02-02 16:31:24.250,72.009,1.66,1.07,0.59,0.833,0.52,1.14,64.458,35.542
2026-02-02 16:31:24.260,2026-02-02 16:31:24.500,2026-02-02 16:31:25.100,2026-02-02 16:31:25.400,2026-02-02 16:31:25.930,71.013,1.67,1.133,0.537,0.845,0.533,1.137,67.814,32.186
2026-02-02 16:31:25.940,2026-02-02 16:31:26.240,2026-02-02 16:31:26.800,2026-02-02 16:31:27.110,2026-02-02 16:31:27.650,68.2,1.717,1.177,0.54,0.88,0.593,1.123,68.543,31.457
2026-02-02 16:31:27.670,2026-02-02 16:31:27.900,2026-02-02 16:31:28.480,2026-02-02 16:31:28.730,2026-02-02 16:31:29.270,74.074,1.6,1.067,0.533,0.81,0.487,1.113,66.667,33.333
2026-02-02 16:31:29.280,2026-02-02 16:31:29.550,2026-02-02 16:31:30.160,2026-02-02 16:31:30.450,2026-02-02 16:31:31.020,68.182,1.74,1.17,0.57,0.88,0.547,1.193,67.241,32.759
2026-02-02 16:31:31.030,2026-02-02 16:31:31.300,2026-02-02 16:31:31.880,2026-02-02 16:31:32.130,2026-02-02 16:31:32.640,70.588,1.61,1.1,0.51,0.85,0.52,1.09,68.323,31.677
2026-02-02 16:31:32.650,2026-02-02 16:31:32.900,2026-02-02 16:31:33.480,2026-02-02 16:31:33.750,2026-02-02 16:31:34.260,72.289,1.61,1.1,0.51,0.83,0.52,1.09,68.323,31.677
2026-02-02 16:31:34.270,2026-02-02 16:31:34.530,2026-02-02 16:31:35.150,2026-02-02 16:31:35.380,2026-02-02 16:31:35.910,69.171,1.643,1.11,0.532,0.868,0.498,1.145,67.58,32.42
2026-02-02 16:31:35.920,2026-02-02 16:31:36.170,2026-02-02 16:31:36.740,2026-02-02 16:31:36.990,2026-02-02 16:31:37.510,73.171,1.59,1.07,0.52,0.82,0.493,1.097,67.296,32.704
2026-02-02 16:31:37.520,2026-02-02 16:31:37.780,2026-02-02 16:31:38.370,2026-02-02 16:31:38.720,2026-02-02 16:31:39.280,70.047,1.76,1.193,0.567,0.857,0.603,1.157,67.803,32.197
2026-02-02 16:31:39.290,2026-02-02 16:31:39.530,2026-02-02 16:31:40.080,2026-02-02 16:31:40.330,2026-02-02 16:31:40.850,76.443,1.56,1.04,0.52,0.785,0.505,1.055,66.667,33.333
2026-02-02 16:31:40.860,2026-02-02 16:31:41.150,2026-02-02 16:31:41.650,2026-02-02 16:31:41.890,2026-02-02 16:31:42.430,75.633,1.563,1.037,0.527,0.793,0.533,1.03,66.313,33.687
2026-02-02 16:31:42.430,2026-02-02 16:31:42.680,2026-02-02 16:31:43.240,2026-02-02 16:31:43.530,2026-02-02 16:31:44.060,75.008,1.623,1.093,0.53,0.8,0.543,1.08,67.351,32.649
2026-02-02 16:31:44.070,2026-02-02 16:31:44.290,2026-02-02 16:31:44.820,2026-02-02 16:31:45.090,2026-02-02 16:31:45.560,80.0,1.483,1.012,0.47,0.75,0.473,1.01,68.297,31.703
2026-02-02 16:31:45.560,2026-02-02 16:31:45.760,2026-02-02 16:31:46.380,2026-02-02 16:31:46.750,2026-02-02 16:31:47.250,73.773,1.683,1.18,0.503,0.813,0.567,1.117,70.098,29.902
2026-02-02 16:31:47.260,2026-02-02 16:31:47.480,2026-02-02 16:31:48.010,2026-02-02 16:31:48.280,2026-02-02 16:31:48.770,80.0,1.517,1.012,0.505,0.75,0.475,1.042,66.723,33.277
2026-02-02 16:31:48.780,2026-02-02 16:31:49.010,2026-02-02 16:31:49.620,2026-02-02 16:31:49.920,2026-02-02 16:31:50.450,72.59,1.663,1.14,0.523,0.827,0.543,1.12,68.538,31.462
2026-02-02 16:31:50.460,2026-02-02 16:31:50.680,2026-02-02 16:31:51.270,2026-02-02 16:31:51.540,2026-02-02 16:31:52.060,74.074,1.6,1.08,0.52,0.81,0.49,1.11,67.5,32.5
2026-02-02 16:31:52.070,2026-02-02 16:31:52.300,2026-02-02 16:31:52.900,2026-02-02 16:31:53.170,2026-02-02 16:31:53.720,72.289,1.65,1.1,0.55,0.83,0.507,1.143,66.667,33.333
2026-02-02 16:31:53.730,2026-02-02 16:31:53.960,2026-02-02 16:31:54.470,2026-02-02 16:31:54.730,2026-02-02 16:31:55.280,81.081,1.55,1.003,0.547,0.74,0.493,1.057,64.731,35.269
2026-02-02 16:31:55.290,2026-02-02 16:31:55.550,2026-02-02 16:31:56.110,2026-02-02 16:31:56.410,2026-02-02 16:31:56.950,73.176,1.65,1.113,0.537,0.82,0.558,1.092,67.425,32.575
2026-02-02 16:31:56.960,2026-02-02 16:31:57.200,2026-02-02 16:31:57.750,2026-02-02 16:31:58.040,2026-02-02 16:31:58.590,75.324,1.63,1.083,0.547,0.797,0.533,1.097,66.463,33.537
2026-02-02 16:31:58.590,2026-02-02 16:31:58.770,2026-02-02 16:31:59.300,2026-02-02 16:31:59.490,2026-02-02 16:31:59.950,85.412,1.353,0.9,0.453,0.703,0.37,0.983,66.544,33.456
2026-02-02 16:31:59.960,2026-02-02 16:32:00.130,2026-02-02 16:32:00.610,2026-02-02 16:32:00.800,2026-02-02 16:32:01.280,92.308,1.32,0.847,0.473,0.65,0.367,0.953,64.141,35.859
2026-02-02 16:32:01.290,2026-02-02 16:32:01.470,2026-02-02 16:32:01.950,2026-02-02 16:32:02.120,2026-02-02 16:32:02.600,90.909,1.307,0.833,0.475,0.66,0.353,0.955,63.671,36.329
2026-02-02 16:32:02.610,2026-02-02 16:32:02.800,2026-02-02 16:32:03.330,2026-02-02 16:32:03.560,2026-02-02 16:32:04.040,83.333,1.43,0.953,0.477,0.72,0.423,1.007,66.667,33.333
2026-02-02 16:32:04.040,2026-02-02 16:32:04.200,2026-02-02 16:32:04.690,2026-02-02 16:32:04.880,2026-02-02 16:32:05.390,92.308,1.343,0.825,0.518,0.65,0.335,1.008,61.451,38.549
2026-02-02 16:32:05.400,2026-02-02 16:32:05.610,2026-02-02 16:32:06.080,2026-02-02 16:32:06.270,2026-02-02 16:32:06.770,88.894,1.365,0.875,0.49,0.675,0.415,0.95,64.105,35.895
